Matchup,Open,Closing Range,Close Start Range,Close End Range,Movement,Event,Fight Date
Jon Jones vs Israel Adesanya,130,-115 ... -115,-115,-115,+14.6%,Future Events,
Jon Jones vs Ciryl Gane,-166,+123 ... +155,123,155,-50.8%,UFC 285,Mar 4th 2023
Jon Jones vs Thiago Santos,625,+400 ... +485,400,485,+4.6%,UFC 239: Jones vs. Santos,Jul 6th 2019
Jon Jones vs Anthony Smith,600,+450 ... +550,450,550,+1.9%,UFC 235: Jones vs. Smith,Mar 2nd 2019
Jon Jones vs Alexander Gustafsson,170,+245 ... +250,245,250,-13.2%,UFC 232: Jones vs. Gustafsson 2,Dec 29th 2018
Jon Jones vs Ovince St.,Preux,+450 +510 ...,450,...,-1.1%,UFC 197: Jones vs. Saint Preux,+550 Apr 23rd 2016
Jon Jones vs Daniel Cormier,145,+175 ... +177,175,177,-5.7%,UFC 182: Jones vs. Cormier,Jan 3rd 2015
Jon Jones vs Glover Teixeira,425,+385 ... +390,385,390,+3.8%,UFC 172: Jones vs. Teixeira,Apr 26th 2014
Jon Jones vs Dominick Reyes,300,+350 ... +375,350,375,-2.9%,UFC 247: Jones vs. Reyes,Feb 8th 2020
Jon Jones vs Daniel Cormier,210,+260 ... +265,260,265,-6.5%,UFC 214: Cormier vs. Jones 2,Jul 29th 2017
Jon Jones vs Alexander Gustafsson,425,+550 ... +660,550,660,-2.3%,UFC 165: Jones vs. Gustafsson,Sep 21st 2013
Jon Jones vs Chael Sonnen,575,+625 ... +685,625,685,-1.4%,UFC 159: Jones vs. Sonnen,Apr 27th 2013
Jon Jones vs Vitor Belfort,700,+575 ... +660,575,660,+4.3%,UFC 152: Jones vs. Belfort,Sep 22nd 2012
Jon Jones vs Rashad Evans,400,+440 ... +440,440,440,-0.3%,UFC 145: Jones vs. Evans,Apr 21st 2012
Jon Jones vs Lyoto Machida,280,+420 ... +420,420,420,-3.3%,UFC 140: Jones vs. Machida,Dec 10th 2011
Jon Jones vs Quinton Jackson,280,+435 ... +435,435,435,-7.8%,UFC 135: Jones vs. Rampage,Sep 24th 2011
Jon Jones vs Mauricio Rua,175,+195 ... +195,195,195,+1.4%,UFC 128: Shogun vs. Jones,Mar 19th 2011
Jon Jones vs Ryan Bader,170,+258 ... +258,258,258,-6.2%,UFC 126: Silva vs. Belfort,Feb 5th 2011
Jon Jones vs Vladimir Matyushenko,425,+602 ... +602,602,602,-2.7%,UFC On Versus 2,Aug 1st 2010
Jon Jones vs Brandon Vera,200,+215 ... +215,215,215,+2.9%,UFC on Versus 1: Vera vs. Jones,Mar 21st 2010
Jon Jones vs Matt Hamill,155,+225 ... +225,225,225,-11.8%,UFC: The Ultimate Fighter 10 Finale,Dec 5th 2009
Jon Jones vs Jake O,Brien,+345 +325 ...,345,...,+2.8%,UFC 100,+325 Jul 11th 2009
Jon Jones vs Stephan Bonnar,-170,-155 ... -155,-155,-155,-2.1%,UFC 94: St-Pierre vs Penn 2,Jan 31st 2009
Jon Jones vs Andre Gusmao,-250,-200 ... -200,-200,-200,-7.4%,UFC 87: Seek And Destroy,Aug 9th 2008
Francis Ngannou vs Ciryl Gane vs Francis Ngannou vs Jairzinho Rozenstruik,250,+190 ... +215,190,215,, ,May 9th 2020
Francis Ngannou vs Junior Dos vs Francis Ngannou vs Cain Velasquez,-170,-210 ... -195,-210,-195,, ,Feb 17th 2019
Francis Ngannou vs Curtis Blaydes vs Francis Ngannou vs Derrick Lewis,170,+255 ... +280,255,280,, ,Jul 7th 2018
Francis Ngannou vs Stipe Miocic vs Francis Ngannou vs Alistair Overeem,170,+185 ... +210,185,210,, ,Dec 2nd 2017
Francis Ngannou vs Andrei Arlovski vs Francis Ngannou vs Anthony Hamilton,400,+340 ... +350,340,350,, ,Dec 9th 2016
Francis Ngannou vs Bojan Mihajlovic vs Francis Ngannou vs Curtis Blaydes,-140,-160 ... -152,-160,-152,, ,Apr 10th 2016
Francis Ngannou vs Luiz Henrique vs Francis Ngannou vs Stipe Miocic,190,+110 ... +122,110,122,, ,Mar 27th 2021
Daniel Cormier vs Stipe Miocic,-110,-111 ... -103,-111,-103,-1.3%,UFC 252: Miocic vs. Cormier 3,Aug 15th 2020
Daniel Cormier vs Stipe Miocic,130,+110 ... +126,110,126,+1.9%,UFC 241: Cormier vs. Miocic 2,Aug 17th 2019
Daniel Cormier vs Derrick Lewis,575,+315 ... +360,315,360,+8.6%,UFC 230: Cormier vs. Lewis,Nov 3rd 2018
Daniel Cormier vs Stipe Miocic,-170,-160 ... -152,-160,-152,-1.7%,UFC 226: Miocic vs. Cormier,Jul 7th 2018
Daniel Cormier vs Volkan Oezdemir,260,+280 ... +285,280,285,+2.2%,UFC 220: Miocic vs. Ngannou,Jan 20th 2018
Daniel Cormier vs Anderson Silva,400,+345 ... +345,345,345,+5.6%,UFC 200: Tate vs. Nunes,Jul 9th 2016
Daniel Cormier vs Alexander Gustafsson,170,+215 ... +244,215,244,-9.5%,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015
Daniel Cormier vs Anthony Johnson,110,-126 ... -120,-126,-120,+12.8%,UFC 187: Johnson vs. Cormier,May 23rd 2015
Daniel Cormier vs Jon Jones,-170,-205 ... -192,-205,-192,+11.2%,UFC 182: Jones vs. Cormier,Jan 3rd 2015
Daniel Cormier vs Dan Henderson,305,+525 ... +600,525,600,-10.2%,UFC 173: Barao vs. Dillashaw,May 24th 2014
Daniel Cormier vs Patrick Cummins,575,+600 ... +600,600,600,+2.9%,UFC 170: Rousey vs. McMann,Feb 22nd 2014
Daniel Cormier vs Jon Jones,-250,-325 ... -310,-325,-310,+14.6%,UFC 214: Cormier vs. Jones 2,Jul 29th 2017
Daniel Cormier vs Anthony Johnson,-110,-140 ... -138,-140,-138,+16.3%,UFC 210: Cormier vs. Johnson 2,Apr 8th 2017
Daniel Cormier vs Roy Nelson,260,+375 ... +435,375,435,-5.3%,UFC 166: Velasquez vs. Dos Santos III,Oct 19th 2013
Daniel Cormier vs Frank Mir,250,+315 ... +335,315,335,-1.5%,UFC on FOX 7: Henderson vs. Melendez,Apr 20th 2013
Daniel Cormier vs Dion Staring,450,+1250 ... +1500,1250,1500,-7.5%,Strikeforce: Marquardt vs. Saffiedine,Jan 12th 2013
Daniel Cormier vs Josh Barnett,-145,+100 ... +115,100,115,-13.1%,Strikeforce: Barnett vs. Cormier,May 19th 2012
