Matchup,Open,Closing Range,Close Start Range,Close End Range,Movement,Event,Fight Date
Brandon Moreno vs Dustin Ortiz,-120,-125 ... -120,-125,-120,+9.7%,UFC Fight Night 108: Swanson vs. Lobov,Apr 22nd 2017
Brandon Moreno vs Ryan Benoit,135,+165 ... +165,165,165,-3%,UFC: The Ultimate Fighter 24 Finale,Dec 3rd 2016
Brandon Moreno vs Louis Smolka,-350,-525 ... -500,-525,-500,+32.4%,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016
Brandon Moreno vs Jussier Formiga,-185,-190 ... -180,-190,-180,+6.1%,UFC on ESPN+ 28: Lee vs. Oliveira,Mar 14th 2020
Brandon Royval vs Matheus Nicolau,-145,-211 ... -185,-211,-185,+14.8%,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
Brandon Royval vs Matt Schnell,170,+200 ... +220,200,220,-8.2%,UFC 274: Oliveira vs. Gaethje,May 7th 2022
Brandon Royval vs Rogerio Bontorin,-110,+130 ... +150,130,150,-19.7%,UFC Fight Night 201,Jan 15th 2022
Brandon Royval vs Alexandre Pantoja,-125,-182 ... -156,-182,-156,+14.6%,UFC on ESPN: Cannonier vs. Gastelum,Aug 21st 2021
Brandon Royval vs Brandon Moreno,-205,-164 ... -140,-164,-140,-21.1%,UFC 255: Figueiredo vs. Perez,Nov 21st 2020
Brandon Royval vs Kai Kara-France,-185,-200 ... -200,-200,-200,+3.7%,UFC 253: Adesanya vs. Costa,Sep 26th 2020
Brandon Royval vs Joby Sanchez,-130,-160 ... -160,-160,-160,+17%,LFA 65: Royval vs. Sanchez,May 3rd 2019
Brandon Royval vs Casey Kenney,-245,-255 ... -255,-255,-255,+6.8%,LFA 53: Royval vs. Kenney,Nov 9th 2018
Brandon Royval vs Charles Johnson,-140,-135 ... -135,-135,-135,+4.8%,LFA 48: Stots vs. Lilley,Sep 7th 2018
Brandon Royval vs Jerome Rivera,-325,-300 ... -260,-300,-260,-15%,LFA 39: Heinisch vs. Checco,May 4th 2018
Brandon Royval vs Nick Urso,-380,-300 ... -300,-300,-300,-12.5%,LFA 10: Heinisch vs. Rota,Apr 21st 2017
Brandon Royval vs Tim Elliott,-180,-152 ... -138,-152,-138,-8.6%,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
Kai Kara-France vs Amir Albazi,175,-135 ... -115,-135,-115,+25.2%,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
Kai Kara-France vs Askar Askarov,-200,-455 ... -400,-455,-400,+36.5%,UFC Fight Night 207,Mar 26th 2022
Kai Kara-France vs Brandon Royval,160,+170 ... +170,170,170,-2.7%,UFC 253: Adesanya vs. Costa,Sep 26th 2020
Kai Kara-France vs Tyson Nam,275,+220 ... +225,220,225,+6.4%,UFC on ESPN+ 26: Felder vs. Hooker,Feb 22nd 2020
Kai Kara-France vs Brandon Moreno,100,+137 ... +144,137,144,-9.7%,UFC 245: Usman vs. Covington,Dec 14th 2019
Kai Kara-France vs Mark de,La,Rosa +240 +160,Rosa,160,+12.2%,UFC on ESPN+ 15: Andrade vs. Zhang,... +187 Aug 31st 2019
Kai Kara-France vs Raulian Paiva,175,+200 ... +225,200,225,-1.6%,UFC 234: Adesanya vs. Silva,Feb 9th 2019
Kai Kara-France vs Raulian Paiva,175,+200 ... +225,200,225,-1.6%,UFC 234: Adesanya vs. Silva,Feb 9th 2019
Tyson Nam vs Azat Maksum,-400,-450 ... -380,-450,-380,+9.2%,UFC Fight Night 225,Jul 15th 2023
Tyson Nam vs Bruno Gustavo,da,Silva +130 -195,Silva,-195,+34.4%,UFC Fight Night 221,... -170 Mar 11th 2023
Tyson Nam vs Ode' Osbourne,-220,-460 ... -350,-460,-350,+29.8%,UFC Fight Night: Vera vs. Cruz,Aug 13th 2022
Tyson Nam vs Matt Schnell,110,-112 ... +100,-112,100,+4.6%,UFC on ESPN 20: Chiesa vs. Magny,Jan 20th 2021
Tyson Nam vs Jerome Rivera,125,+152 ... +187,152,187,-5.8%,UFC on ESPN+ 36: Covington vs. Woodley,Sep 19th 2020
Tyson Nam vs Zarrukh Adashev,175,+105 ... +125,105,125,+18.9%,UFC on ESPN 10: Eye vs. Calvillo,Jun 13th 2020
Tyson Nam vs Kai Kara-France,-350,-278 ... -260,-278,-260,-16.1%,UFC on ESPN+ 26: Felder vs. Hooker,Feb 22nd 2020
Tyson Nam vs Sergio Pettis,-265,-357 ... -300,-357,-300,+21.5%,UFC on ESPN+ 17: Rodriguez vs. Stephens,Sep 21st 2019
Tyson Nam vs Cody Bollinger,110,+100 ... +123,100,123,+5.2%,World Series of Fighting 8: Gaethje vs. Patishnock,Jan 18th 2014
Tyson Nam vs Marlon Moraes,-130,-205 ... -185,-205,-185,+30.1%,World Series of Fighting 2: Arlovski vs. Johnson,Mar 23rd 2013
Jerome Rivera vs Zhalgas Zhumagulov,-400,-333 ... -220,-333,-220,-19%,UFC 264: Poirier vs. McGregor 3,Jul 10th 2021
Jerome Rivera vs Ode Osbourne,-270,-225 ... -185,-225,-185,-21.8%,UFC Fight Night 184: Overeem vs. Volkov,Feb 6th 2021
Jerome Rivera vs Francisco Figueredo,105,-161 ... -145,-161,-145,+21.1%,UFC on ESPN 20: Chiesa vs. Magny,Jan 20th 2021
Jerome Rivera vs Tyson Nam,-165,-227 ... -175,-227,-175,+15.1%,UFC on ESPN+ 36: Covington vs. Woodley,Sep 19th 2020
Jerome Rivera vs Luis Rodriguez,-115,+195 ... +220,195,220,-34.3%,Dana White's Contender Series 27,Aug 4th 2020
Jerome Rivera vs Brandon Royval,245,+180 ... +220,180,220,+3.6%,LFA 39: Heinisch vs. Checco,May 4th 2018
Jerome Rivera vs Roberto Sanchez,-125,-270 ... -270,-270,-270,+35.5%,LFA 14: Allen vs. Anders,Jun 23rd 2017
Jerome Rivera vs Kendrick Latchman,265,+250 ... +250,250,250,+2%,LFA 80: Garcia vs. Mariscal,Jan 17th 2020
Jerome Rivera vs Kendrick Latchman,265,+250 ... +250,250,250,+2%,LFA 80: Garcia vs. Mariscal,Jan 17th 2020
Ode Osbourne vs Jerome Rivera,230,+162 ... +175,162,175,+8.2%,UFC Fight Night 184: Overeem vs. Volkov,Feb 6th 2021
Ode Osbourne vs Armando Villarreal,-250,-200 ... -145,-200,-145,-29.7%,Dana White's Contender Series 20,Jul 16th 2019
Ode Osbourne vs Brian Kelleher,115,+130 ... +143,130,143,-4.2%,UFC 246: McGregor vs. Cowboy,Jan 18th 2020
Armando Villarreal vs Ode Osbourne,210,+125 ... +162,125,162,+12.8%,Dana White's Contender Series 20,Jul 16th 2019
Armando Villarreal vs Ode Osbourne,210,+125 ... +162,125,162,+12.8%,Dana White's Contender Series 20,Jul 16th 2019
Francisco Figueredo vs Malcolm Gordon,195,+225 ... +260,225,260,-8.6%,UFC on ESPN: Makhachev vs. Moises,Jul 17th 2021
Francisco Figueredo vs Jerome Rivera,-125,+120 ... +135,120,135,-24%,UFC on ESPN 20: Chiesa vs. Magny,Jan 20th 2021
Luis Rodriguez vs Jerome Rivera,-115,-286 ... -230,-286,-230,+39.3%,Dana White's Contender Series 27,Aug 4th 2020
Kendrick Latchman vs Casey Kenney,-300,-475 ... -475,-475,-475,+24.7%,LFA 31: Moffett vs. Le,Jan 19th 2018
Kendrick Latchman vs Jerome Rivera,-385,-350 ... -350,-350,-350,-4.3%,LFA 80: Garcia vs. Mariscal,Jan 17th 2020
Tyler Shinn vs Chris Kelades,-265,-275 ... -275,-275,-275,+3.4%,LFA 18: Aguilar vs. Rader,Aug 4th 2017
Chris Kelades vs Tyler Shinn,185,+195 ... +195,195,195,-1%,LFA 18: Aguilar vs. Rader,Aug 4th 2017
Chris Kelades vs Sergio Pettis,-260,-225 ... -220,-225,-220,+1.8%,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016
Chris Kelades vs Chris Beal,-185,-170 ... -160,-170,-160,-0.8%,UFC Fight Night 74: Holloway vs. Oliveira,Aug 23rd 2015
Chris Kelades vs Ray Borg,-380,-1000 ... -975,-1000,-975,+56.4%,UFC Fight Night 60: Henderson vs. Thatch,Feb 14th 2015
Chris Kelades vs Patrick Holohan,-405,-500 ... -500,-500,-500,+24.5%,UFC Fight Night 54: MacDonald vs. Saffiedine,Oct 4th 2014
Chris Kelades vs Patrick Holohan,-405,-500 ... -500,-500,-500,+24.5%,UFC Fight Night 54: MacDonald vs. Saffiedine,Oct 4th 2014
Chris Beal vs Josh Rettinghouse,-300,-400 ... -350,-400,-350,+9.3%,XMMA 5,Jul 23rd 2022
Chris Beal vs Joe Soto,-140,-125 ... -125,-125,-125,+2.4%,UFC Fight Night 89: MacDonald vs. Thompson,Jun 18th 2016
Chris Beal vs Chris Kelades,145,+140 ... +145,140,145,+4.1%,UFC Fight Night 74: Holloway vs. Oliveira,Aug 23rd 2015
Chris Beal vs Neil Seery,170,+175 ... +178,175,178,+2.8%,UFC on FOX 14: Gustafsson vs. Johnson,Jan 24th 2015
Chris Beal vs Tateki Matsuda,210,+385 ... +435,385,435,-12.1%,UFC Fight Night 50: Souza vs. Mousasi,Sep 5th 2014
Chris Beal vs Patrick Williams,145,+100 ... +100,100,100,+17.6%,UFC 172: Jones vs. Teixeira,Apr 26th 2014
Joe Soto vs Iuri Alcantara,-125,-125 ... -120,-125,-120,+7.9%,UFC Fight Night 125: Machida vs. Anders,Feb 3rd 2018
Joe Soto vs Brett Johns,-230,-180 ... -165,-180,-165,-8%,UFC: The Ultimate Fighter 26 Finale,Dec 1st 2017
Joe Soto vs Rani Yahya,-175,-245 ... -240,-245,-240,+23%,UFC Fight Night 106: Belfort vs. Gastelum,Mar 11th 2017
Joe Soto vs Marco Beltran,-115,-145 ... -135,-145,-135,+18.2%,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 5th 2016
Joe Soto vs Chris Beal,100,+105 ... +105,105,105,+4.8%,UFC Fight Night 89: MacDonald vs. Thompson,Jun 18th 2016
Joe Soto vs Michinori Tanaka,-135,-144 ... -140,-144,-140,+12.1%,UFC 195: Lawler vs. Condit,Jan 2nd 2016
Joe Soto vs Anthony Birchak,170,+170 ... +175,170,175,+3.9%,UFC Fight Night 68: Henderson vs. Boetsch,Jun 6th 2015
Joe Soto vs T.J. Dillashaw,-1500,-1125 ... -1100,-1125,-1100,+12.4%,UFC 177: Dillashaw vs. Soto,Aug 30th 2014
Joe Soto vs Eddie Yaggin,250,+450 ... +450,450,450,-12%,Tachi Palace Fights 10: Let the Chips Fall,Aug 5th 2011
Joe Soto vs Joe Warren,-115,+120 ... +120,120,120,-9.1%,Bellator Fighting Championships 27,Sep 2nd 2010
Joe Soto vs Diego Saraiva,330,+390 ... +390,390,390,-3.1%,Bellator Fighting Championships 19,May 20th 2010
Joe Soto vs Yahir Reyes,210,+230 ... +230,230,230,-1.9%,Bellator Fighting Championship 10,Jun 5th 2009
Joe Soto vs Wilson Reis,-115,-115 ... -115,-115,-115,0%,Bellator Fighting Championship 6,May 8th 2009
Joe Soto vs Ben Greer,-120,+130 ... +130,130,130,-12.8%,Bellator Fighting Championship 1,Apr 3rd 2009
Joe Soto vs Ben Greer,-120,+130 ... +130,130,130,-12.8%,Bellator Fighting Championship 1,Apr 3rd 2009
Iuri Alcantara vs Cory Sandhagen,135,-200 ... -200,-200,-200,+41.8%,UFC Fight Night 135: Gaethje vs. Vick,Aug 25th 2018
Iuri Alcantara vs Joe Soto,-115,+100 ... +105,100,105,+0.7%,UFC Fight Night 125: Machida vs. Anders,Feb 3rd 2018
Iuri Alcantara vs Alejandro Perez,160,+155 ... +160,155,160,+5.1%,UFC Fight Night 123: Swanson vs. Ortega,Dec 9th 2017
Iuri Alcantara vs Brian Kelleher,175,+305 ... +315,305,315,-11.2%,UFC 212: Aldo vs. Holloway,Jun 3rd 2017
Iuri Alcantara vs Luke Sanders,-140,-150 ... -150,-150,-150,+13%,UFC 209: Woodley vs. Thompson 2,Mar 4th 2017
Iuri Alcantara vs Brad Pickett,120,+130 ... +138,130,138,+1.5%,UFC 204: Bisping vs. Henderson 2,Oct 8th 2016
Iuri Alcantara vs Jimmie Rivera,-140,-170 ... -164,-170,-164,+19%,UFC on FOX 18: Johnson vs. Bader,Jan 30th 2016
Iuri Alcantara vs Leandro Issa,335,+205 ... +210,205,210,+14.9%,UFC 190: Rousey vs. Correia,Aug 1st 2015
Iuri Alcantara vs Frankie Saenz,225,+725 ... +775,725,775,-21.4%,UFC Fight Night 61: Bigfoot vs. Mir,Feb 22nd 2015
Iuri Alcantara vs Russell Doane,170,+275 ... +285,275,285,-9.3%,UFC Fight Night 51: Big Foot vs. Arlovski II,Sep 13th 2014
Iuri Alcantara vs Vaughan Lee,270,+285 ... +305,285,305,+2.7%,UFC Fight Night 41: Munoz vs. Mousasi,May 31st 2014
Alejandro Perez vs Jonathan Martinez,-210,-335 ... -225,-335,-225,+16.9%,UFC Fight Night 203,Feb 26th 2022
Alejandro Perez vs Johnny Eduardo,170,+195 ... +250,195,250,-9.2%,UFC Fight Night: Santos vs. Walker,Oct 2nd 2021
Alejandro Perez vs Yadong Song,-185,-225 ... -194,-225,-194,+11.2%,UFC 239: Jones vs. Santos,Jul 6th 2019
Alejandro Perez vs Cody Stamann,-155,-185 ... -170,-185,-170,+15%,UFC 235: Jones vs. Smith,Mar 2nd 2019
Alejandro Perez vs Eddie Wineland,165,+147 ... +155,147,155,+7%,UFC Fight Night 133: Dos Santos vs. Ivanov,Jul 14th 2018
Alejandro Perez vs Matthew Lopez,110,-110 ... -105,-110,-105,+11.6%,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
Alejandro Perez vs Iuri Alcantara,-210,-185 ... -175,-185,-175,-0.8%,UFC Fight Night 123: Swanson vs. Ortega,Dec 9th 2017
Alejandro Perez vs Andre Soukhamthath,100,+145 ... +145,145,145,-6.7%,UFC Fight Night 114: Pettis vs. Moreno,Aug 5th 2017
Alejandro Perez vs Albert Morales,-150,-110 ... -105,-110,-105,-11.4%,UFC Fight Night 94: Johnson vs. Poirier,Sep 17th 2016
Alejandro Perez vs Ian Entwistle,-120,-150 ... -150,-150,-150,+20.3%,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
Alejandro Perez vs Scott Jorgensen,-200,-135 ... -130,-135,-130,-20.7%,UFC Fight Night 78: Magny vs. Gastelum,Nov 21st 2015
Alejandro Perez vs Patrick Williams,110,+145 ... +150,145,150,-3.8%,UFC 188: Velasquez vs. Werdum,Jun 13th 2015
Alejandro Perez vs Jose Quinonez,-250,-250 ... -235,-250,-235,+1%,UFC 180: Werdum vs. Hunt,Nov 15th 2014
Yadong Song vs Cory Sandhagen,-160,-213 ... -195,-213,-195,+10.4%,UFC Fight Night 211,Sep 17th 2022
Yadong Song vs Marlon Moraes,155,+220 ... +255,220,255,-16.1%,UFC,Mar 12th 2022
Yadong Song vs Alejandro Perez,145,+169 ... +185,169,185,-4.5%,UFC 239: Jones vs. Santos,Jul 6th 2019
Yadong Song vs Vince Morales,255,+400 ... +425,400,425,-7.6%,UFC Fight Night 141: Blaydes vs. Ngannou 2,Nov 24th 2018
Yadong Song vs Felipe Arantes,-175,-105 ... +100,-105,100,-27.2%,UFC Fight Night 132: Cowboy vs. Edwards,Jun 23rd 2018
Yadong Song vs Bharat Khandare,110,+140 ... +150,140,150,-4.5%,UFC Fight Night 122: Bisping vs. Gastelum,Nov 25th 2017
Yadong Song vs Bharat Khandare,110,+140 ... +150,140,150,-4.5%,UFC Fight Night 122: Bisping vs. Gastelum,Nov 25th 2017
Felipe Arantes vs Yadong Song,135,-120 ... -115,-120,-115,+20.3%,UFC Fight Night 132: Cowboy vs. Edwards,Jun 23rd 2018
Felipe Arantes vs Josh Emmett,-270,-240 ... -235,-240,-235,+3.3%,UFC Fight Night 118: Cerrone vs. Till,Oct 21st 2017
Felipe Arantes vs Erik Perez,-215,-250 ... -240,-250,-240,+13.1%,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 5th 2016
Felipe Arantes vs Jerrod Sanders,140,+125 ... +135,125,135,+6.7%,UFC Fight Night 90: Dos Anjos vs. Alvarez,Jul 7th 2016
Felipe Arantes vs Yves Jabouin,135,+210 ... +220,210,220,-12.6%,UFC Fight Night 74: Holloway vs. Oliveira,Aug 23rd 2015
Felipe Arantes vs Andre Fili,-155,-164 ... -160,-164,-160,+13%,UFC 179: Aldo vs. Mendes II,Oct 25th 2014
Felipe Arantes vs Maximo Blanco,-150,-110 ... -110,-110,-110,-10%,UFC Fight Night 36: Machida vs. Mousasi,Feb 15th 2014
Felipe Arantes vs Edimilson Souza,150,+210 ... +250,210,250,-13.9%,UFC Fight Night 28: Teixeira vs. Bader,Sep 4th 2013
Felipe Arantes vs Godofredo Castro,120,+185 ... +200,185,200,-12.2%,UFC on FUEL TV 10: Nogueira vs. Werdum 2,Jun 8th 2013
Felipe Arantes vs Milton Vieira,130,+136 ... +145,136,145,+3.2%,UFC 147: Silva vs. Franklin II,Jun 23rd 2012
Felipe Arantes vs Antonio Carvalho,-225,-165 ... -165,-165,-165,-7.8%,UFC 142: Aldo vs. Mendes,Jan 14th 2012
Felipe Arantes vs Yuri Alcantara,-350,-475 ... -475,-475,-475,+32.7%,UFC 134: Silva vs. Okami,Aug 27th 2011
Jerrod Sanders vs Felipe Arantes,-180,-155 ... -145,-155,-145,-4.3%,UFC Fight Night 90: Dos Anjos vs. Alvarez,Jul 7th 2016
Jerrod Sanders vs Russell Doane,-405,-475 ... -470,-475,-470,+18.9%,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,Jul 12th 2015
Jerrod Sanders vs Pedro Munhoz,-385,-525 ... -480,-525,-480,+29.1%,UFC Fight Night 54: MacDonald vs. Saffiedine,Oct 4th 2014
Jerrod Sanders vs Yosdenis Cedeno,130,+169 ... +170,169,170,-4.1%,UFC Fight Night 45: Cerrone vs. Miller,Jul 16th 2014
Jerrod Sanders vs Jeff Smith,100,+100 ... +100,100,100,0%,World Series of Fighting 3: Fitch vs. Burkman,Jun 14th 2013
Jerrod Sanders vs Jeff Smith,100,+100 ... +100,100,100,0%,World Series of Fighting 3: Fitch vs. Burkman,Jun 14th 2013
Russell Doane vs Rani Yahya,-285,-220 ... -210,-220,-210,-8.9%,UFC on FOX 28: Stephens vs. Emmett,Feb 24th 2018
Russell Doane vs Kwan Ho,Kwak,-165 -120 ...,-165,...,-12.5%,UFC Fight Night 111: Holm vs. Correia,-120 Jun 17th 2017
Russell Doane vs Mirsad Bektic,-705,-605 ... -580,-605,-580,+2.4%,UFC 204: Bisping vs. Henderson 2,Oct 8th 2016
Russell Doane vs Pedro Munhoz,-265,-240 ... -220,-240,-220,+2.7%,UFC Fight Night 90: Dos Anjos vs. Alvarez,Jul 7th 2016
Russell Doane vs Jerrod Sanders,285,+375 ... +375,375,375,-2.9%,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,Jul 12th 2015
Russell Doane vs Iuri Alcantara,-230,-325 ... -315,-325,-315,+28.9%,UFC Fight Night 51: Big Foot vs. Arlovski II,Sep 13th 2014
Russell Doane vs Marcus Brimage,-140,-125 ... -115,-125,-115,+2.4%,UFC 175: Weidman vs. Machida,Jul 5th 2014
Russell Doane vs Leandro Issa,-190,-130 ... -120,-130,-120,-22%,UFC Fight Night 34: Saffiedine vs. Lim,Jan 4th 2014
Kwan Ho vs Russell Doane,125,+100 ... +100,100,100,+12.4%,UFC Fight Night 111: Holm vs. Correia,Jun 17th 2017
Kwan Ho vs Brett Johns,-230,-220 ... -200,-220,-200,+1.8%,UFC Fight Night 99: Mousasi vs. Hall 2,Nov 19th 2016
Brett Johns vs Marcirley Alves vs Brett Johns,-275,-1000 ... -670,-1000,-670,, ,
Jordan Winski vs Brett Johns,-300,-375 ... -227,-375,-227,-21.6%,Bellator 285,
Khurshed Kakhorov vs Brett Johns,-360,-270 ... -233,-270,-233,+1.1%,Bellator 275,
Danny Sabatello vs Brett Johns,140,+200 ... +235,200,235,+8.1%,Bellator 259: Cyborg vs. Smith 2,
Montel Jackson vs Brett Johns,-215,-130 ... -111,-130,-111,+24.5%,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,
Tony Gravely vs Brett Johns,115,+170 ... +175,170,175,+20.1%,UFC on ESPN+ 24: Blaydes vs. Dos Santos,
Pedro Munhoz vs Brett Johns,-150,-110 ... -105,-110,-105,+21.2%,UFC 227: Dillashaw vs. Garbrandt 2,
Aljamain Sterling vs Brett Johns,-230,-180 ... -165,-180,-165,+13.5%,UFC Fight Night 128: Barboza vs. Lee,
Joe Soto vs Brett Johns,-270,-355 ... -350,-355,-350,+9.1%,UFC: The Ultimate Fighter 26 Finale,
Albert Morales vs Brett Johns,-230,-220 ... -200,-220,-200,-6.8%,UFC Fight Night 113: Nelson vs. Ponzinibbio,
Kwan Ho vs Brett Johns,-280,-260 ... -260,-260,-260,+2.8%,UFC Fight Night 99: Mousasi vs. Hall 2,
Anthony Gutierrez vs Brett Johns,-230,-195 ... -185,-195,-185,+2%,Titan FC 34: Healy vs. Edwards,
Walel Watson vs Brett Johns,100,+115 ... +115,115,115,+6%,Titan FC 33: Green vs. Holobaugh,
James Brum vs Brett Johns,-140,-195 ... -195,-195,-195,+7%,Cage Warriors 67,
James Macalister,100,+155 ... +155,155,155,-13.3%,Cage Warriors 54: Taylor vs. Phillips,May 4th 2013
James Macalister,100,+155 ... +155,155,155,-13.3%,Cage Warriors 54: Taylor vs. Phillips,May 4th 2013
Montel Jackson vs Chris Gutierrez vs Montel Jackson,-500,-725 ... -549,-725,-549,, ,
Rani Yahya vs Montel Jackson,-150,-210 ... -189,-210,-189,-3.1%,UFC Fight Night 223,
Julio Arce vs Montel Jackson,-600,-700 ... -625,-700,-625,-11.3%,UFC 281,
Jp Buys. vs Montel Jackson,-500,-720 ... -600,-720,-600,-1.2%,UFC Fight Night: Smith vs. Spann,
Jesse Strader vs Montel Jackson,-160,-275 ... -250,-275,-250,-4.5%,UFC on ESPN 21: Brunson vs. Holland,
Brett Johns vs Montel Jackson,-700,-700 ... -600,-700,-600,-17.5%,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,
Felipe Colares vs Montel Jackson,250,-600 ... -556,-600,-556,+1.1%,UFC on ESPN+ 24: Blaydes vs. Dos Santos,
Andre Soukhamthath vs Montel Jackson,-145,-180 ... -172,-180,-172,-198.9%,UFC 236: Holloway vs. Poirier 2,
Brian Kelleher vs Montel Jackson,-290,-275 ... -275,-275,-275,-7.7%,UFC 232: Jones vs. Gustafsson 2,
Rico Disciullo vs Montel Jackson,145,-130 ... -125,-130,-125,+1.4%,Dana White's Contender Series 9,
Rico Disciullo vs Montel Jackson,145,-130 ... -125,-130,-125,+1.4%,Dana White's Contender Series 9,
Felipe Colares vs Alioune Nahaye,350,+106 ... +130,106,130,+26.9%,Ares FC 12,Feb 17th 2023
Felipe Colares vs Chase Hooper,-110,+120 ... +162,120,162,-23%,UFC Fight Night 2010,May 21st 2022
Felipe Colares vs Chris Gutierrez,-250,-286 ... -250,-286,-250,+0.3%,UFC Fight Night: Dern vs. Rodriguez,Oct 9th 2021
Felipe Colares vs Montel Jackson,-700,-700 ... -600,-700,-600,-7.5%,UFC on ESPN+ 24: Blaydes vs. Dos Santos,Jan 25th 2020
Felipe Colares vs Domingo Pilarte,-275,-400 ... -357,-400,-357,+25.9%,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 20th 2019
Felipe Colares vs Geraldo de,Freitas,-135 -139 ...,-135,...,+7%,UFC on ESPN+ 2: Assuncao vs. Moraes 2,-125 Feb 2nd 2019
Felipe Colares vs Luke Sanders,-200,-150 ... -126,-150,-126,-26.2%,UFC on ESPN 23: Reyes vs. Prochazka,May 1st 2021
Journey Newson vs Brian Kelleher vs Journey Newson vs Marcus McGhee,315,+118 ... +150,118,150,, ,Apr 29th 2023
Journey Newson vs Sergey Morozov vs Journey Newson vs Fernie Garcia,-150,-180 ... -115,-180,-115,, ,May 7th 2022
Journey Newson vs Randy Costa vs Journey Newson vs Ricardo Ramos,-305,-410 ... -333,-410,-333,, ,Jun 29th 2019
Journey Newson vs Randy Costa vs Journey Newson vs Ricardo Ramos,-305,-410 ... -333,-410,-333,, ,Jun 29th 2019
Randy Costa vs Guido Cannetti,220,+235 ... +265,235,265,-4.5%,UFC Vegas 57,Oct 1st 2022
Randy Costa vs Tony Kelley,-110,+150 ... +180,150,180,-26.8%,UFC 269,Dec 11th 2021
Randy Costa vs Adrian Yanez,-170,-255 ... -225,-255,-225,+15.5%,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 24th 2021
Randy Costa vs Journey Newson,155,-139 ... -125,-139,-125,+24.9%,UFC on ESPN+ 36: Covington vs. Woodley,Sep 19th 2020
Randy Costa vs Boston Salmon,-165,-159 ... -150,-159,-150,+2.6%,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
Randy Costa vs Brandon Davis,-105,-200 ... -175,-200,-175,+33.6%,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
Brandon Davis vs Mana Martinez,-110,-167 ... -142,-167,-142,+17.7%,UFC Fight Night 212,Oct 15th 2022
Brandon Davis vs Danaa Batgerel,-300,-165 ... -132,-165,-132,-55.6%,UFC Fight Night: Ladd vs. Dumont,Oct 16th 2021
Brandon Davis vs Giga Chikadze,140,+135 ... +138,135,138,+5.2%,UFC on ESPN+ 18: Hermansson vs. Cannonier,Sep 28th 2019
Brandon Davis vs Kyung Ho,Kang,-185 -200 ...,-185,...,+8.6%,UFC 241: Cormier vs. Miocic 2,-190 Aug 17th 2019
Brandon Davis vs Randy Costa,-135,+150 ... +170,150,170,-27.4%,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
Brandon Davis vs Zabit Magomedsharipov,-1050,-1449 ... -1375,-1449,-1375,+30%,UFC 228: Woodley vs. Till,Sep 8th 2018
Brandon Davis vs Enrique Barzola,-165,-235 ... -225,-235,-225,+23.2%,UFC Fight Night 129: Maia vs. Usman,May 19th 2018
Brandon Davis vs Kyle Bochniak,145,+120 ... +120,120,120,+10.1%,UFC 220: Miocic vs. Ngannou,Jan 20th 2018
Brandon Davis vs Austin Arnett,-145,-200 ... -185,-200,-185,+22.6%,Dana White's Contender Series 4,Aug 1st 2017
Brandon Davis vs Steven Peterson,160,+130 ... +133,130,133,+8.8%,UFC Fight Night 126: Cerrone vs. Medeiros,Feb 18th 2018
Kyung Ho vs Rani Yahya vs Kyung Ho vs Brandon Davis,145,+165 ... +170,165,170,, ,Aug 17th 2019
Kyung Ho vs Teruto Ishihara vs Kyung Ho vs Ricardo Ramos,-245,-300 ... -275,-300,-275,, ,Aug 4th 2018
Kyung Ho vs Guido Cannetti vs Kyung Ho vs Michinori Tanaka,-150,-158 ... -150,-158,-150,, ,Sep 20th 2014
Kyung Ho vs Liu Pingyuan vs Kyung Ho vs Shunichi Shimizu,200,+270 ... +295,270,295,, ,Jan 4th 2014
Kyung Ho vs Chico Camus vs Kyung Ho vs Alex Caceres,115,-115 ... +110,-115,110,, ,Mar 2nd 2013
Kyung Ho vs Shigeki Osawa,-275,-290 ... -290,-290,-290,, ,Mar 7th 2010
Liu Pingyuan vs Jonathan Martinez,205,+150 ... +180,150,180,+11.2%,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019
Liu Pingyuan vs Kyung Ho,Kang,-260 -260 ...,-260,...,+2.3%,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,-250 Dec 21st 2019
Teruto Ishihara vs Bruno Souza vs Teruto Ishihara,240,+220 ... +275,220,275,, ,
Vince Morales vs Teruto Ishihara,-400,-350 ... -350,-350,-350,+2.3%,XMMA6,
