,Fighter_ID,Fighter_Name,matches
214,e6015889f50075d2,David Barrios ,
215,8fd1f27e86661ede,Alexandre Barros Baixinho,
216,d26394fc0e8e880a,Ricardo Barros ,
217,b69f24c500d783e7,Francimar Barroso Bodao,Francimar Barroso
218,658c3465581ae46b,Pat Barry HD,
219,a6f3d15cb84334bb,Dean Barry The Sniper,
220,be0b310a12eb80b4,Enrique Barzola El Fuerte,Enrique Barzola
221,1cecc8fe6748a532,Stephen Bass Bigfish,
222,2c733e059462c1dc,Sean Bassett ,
223,29508aff4d93cbbe,Ryan Bastianelli Relentless,
224,8ef4a91ac694b7ce,Shayna Baszler The Queen of Spades,Shayna Baszler
225,3b0a516d2921e0d6,Batgerel Danaa Storm,
226,34218661c44ed55d,Michel Batista ,
227,c9a94278df042f46,Alan Baudot The Black Samourai,
228,bc711b6dd95c1af6,Mario Bautista ,Mario Bautista
229,55f446032177b119,Chris Beal Real Deal,
230,74f13066b1417ef3,Rudy Bears ,Rudy Bears
231,4fd76e7ba8313457,Salvador Becerra ,Salvador Becerra
232,b96939f2b8d88e82,Ariel Beck ,
233,93bf96be327fcd98,Jeff Bedard Little Popeye,
234,ce05955c26c3c090,Eric Bedard Lucky Strikes,
235,ffc3e6daaa6da0b7,Johnny Bedford Brutal,Johnny Bedford
236,b16a7e6a627e9789,Chase Beebe ,Chase Beebe
237,babc6b5745335f18,Lyle Beerbohm Fancy Pants,
238,cbd3e590a85b18c5,Mirsad Bektic ,
239,d7e40dca3ae125be,Diana Belbita The Warrior Princess,
240,4130a743d9d22163,Alan Belcher The Talent,
241,0ee783aa00e468f0,Vitor Belfort The Phenom,Vitor Belfort
242,c3f6db17cea09ca7,Danilo Belluardo Caterpillar,
243,46baf0f57edfa4df,Joey Beltran The Mexicutioner,Joey Beltran
244,ec71a892fada28c7,Marco Beltran Psycho,
245,80eacd4da0617c57,Joseph Benavidez ,Joseph Benavidez
246,a71feb7ea7592a71,Mike Bencic Batman,
247,9fd1f08dd4aec14a,Dave Beneteau Dangerous,
248,6104730621ff318d,Karla Benitez ,
249,436f970c9ea9169c,Gabriel Benitez Moggly,Gabriel Benitez
250,8dc4f34c1f50d00d,Charles Bennett Krazy Horse,
251,c3ac8d0da7b05772,Josh Bennett ,
252,404ecb2700844072,DeAnna Bennett The Argentine Assassin,Deanna Bennett
253,5431dccc09118234,Lance Benoist ,
254,a30f6d375dea5f9b,Joe Benoit ,
255,20999e27ddd94bda,Ryan Benoit Baby Face,Ryan Benoit
256,a25f3dc0df974597,Pat Benson ,
257,592d23aed850e652,Len Bentley ,
258,21b1132949f2a9b0,Steve Berger The Red Nosed Pitbull,
