Fighter_ID,Fight_ID,Fight_Name,Weight_Class,Opponent,Method,Round_End,Time_End,Fight_format,Referee,Details
aa6e591c2a2cdecd,c39da8538d9c0321,UFC Fight Night: Boetsch vs Henderson,Middleweight Bout,Jake Collier,Decision - Split,3,5:00,      3 Rnd (5-5-5),Jordan Bass,Myron Gaudet 28 - 29.Cardo Urso 29 - 28.Robbie Scheuermann 28 - 29.
aa6e591c2a2cdecd,e64310b89b54db3f,UFC Fight Night: Miocic vs Maldonado,Middleweight Bout,Wagner Silva,Submission,2,1:06,      3 Rnd (5-5-5),Osiris Maia,Rear Naked Choke 
5444c5a201d3ee5a,0fcf42b68f2f0fa3,UFC Fight Night: Woodley vs. Burns,Light Heavyweight Bout,Klidson Abreu,Overturned,1,1:51,      3 Rnd (5-5-5),Herb Dean,Failed Drug Test by Hill
0d980975001ae3d8,f820c6292e19d854,UFC Fight Night: Zabit vs. Kattar,Light Heavyweight Bout,Klidson Abreu,Decision - Split,3,5:00,      3 Rnd (5-5-5),Leon Roberts,Howard Hughes 28 - 29.Lukasz Bosacki 29 - 28.Paul Sutherland 28 - 29.
d156513a19acf856,f711b3ec6bc3c407,UFC Fight Night: Dos Anjos vs. Edwards,Light Heavyweight Bout,Klidson Abreu,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Jacob Montalvo,Jennie Cardenas 27 - 30.Ruben Carrion 27 - 30.Perry Hillin 28 - 29.
d802174b0c0c1f4e,14c505d7ad55883c,UFC Fight Night: Blachowicz vs. Santos,Light Heavyweight Bout,Klidson Abreu,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Leon Roberts,Ben Cartlidge 27 - 30.Paul Sutherland 27 - 30.David Lethaby 28 - 29.
8ddf9c51c5fdea75,8b5130c2f2723a90,Fury FC 5: Final Conflict,Welterweight Bout,Daniel Acacio,Submission,1,1:22,      3 Rnd (5-5-5),Herb Dean,Heel Hook From Guard 
b2acebbef8da14ea,5769c08adc653958,PRIDE Bushido 9: The Tournament,Welterweight Bout,Daniel Acacio,Decision - Unanimous,2,5:00,      2 Rnd (10-5),Daisuke Noguchi,
1c5879330d42255f,d825023bc9f343fc,PRIDE Bushido 8,Welterweight Bout,Kazuo Misaki,Decision - Unanimous,2,5:00,      2 Rnd (10-5),Yuji Shimada,
1c5879330d42255f,5584458cadd0a0ca,PRIDE Bushido 6,Welterweight Bout,Daiju Takase,KO/TKO,2,3:34,      2 Rnd (10-5),Minoru Toyonaga,toCorner Stoppage
989b85f6540c86b1,99d0517adc67fc40,Road to UFC 1.4,Welterweight Bout,HanSeul Kim,Submission,1,4:37,      3 Rnd (5-5-5),John Sharp,Triangle Armbar From Bottom Guard 
