Fight_ID,Fighter_ID_0,Knockdowns_0_cumulative,Significant_Strikes_0_cumulative,Total_Strikes_0_cumulative,Head_0_cumulative,Body_0_cumulative,Legs_0_cumulative,Distance_0_cumulative,Clinch_0_cumulative,Ground_0_cumulative,Takedowns_0_cumulative,Submission_Attempt_0_cumulative,Rev_0_cumulative,Control_Time_0_Seconds_cumulative,Fighter_ID_1,Knockdowns_1_cumulative,Significant_Strikes_1_cumulative,Total_Strikes_1_cumulative,Head_1_cumulative,Body_1_cumulative,Legs_1_cumulative,Distance_1_cumulative,Clinch_1_cumulative,Ground_1_cumulative,Takedowns_1_cumulative,Submission_Attempt_1_cumulative,Rev_1_cumulative,Control_Time_1_Seconds_cumulative,HT_cm_0,WT_numeric_0,Reach_cm_0,STANCE_Sideways_0,STANCE_Southpaw_0,STANCE_Orthodox_0,STANCE_Switch_0,HT_cm_1,WT_numeric_1,Reach_cm_1,STANCE_Sideways_1,STANCE_Southpaw_1,STANCE_Orthodox_1,STANCE_Switch_1,Result_win_cumulative_0,Result_loss_cumulative_0,Result_nc_cumulative_0,Result_draw_cumulative_0,METHOD_CNC_cumulative_0,METHOD_DQ_cumulative_0,METHOD_Decision_cumulative_0,METHOD_KO/TKO_cumulative_0,METHOD_M-DEC_cumulative_0,METHOD_Other_cumulative_0,METHOD_Overturned_cumulative_0,METHOD_S-DEC_cumulative_0,METHOD_SUB_cumulative_0,METHOD_U-DEC_cumulative_0,Result_win_cumulative_1,Result_loss_cumulative_1,Result_nc_cumulative_1,Result_draw_cumulative_1,METHOD_CNC_cumulative_1,METHOD_DQ_cumulative_1,METHOD_Decision_cumulative_1,METHOD_KO/TKO_cumulative_1,METHOD_M-DEC_cumulative_1,METHOD_Other_cumulative_1,METHOD_Overturned_cumulative_1,METHOD_S-DEC_cumulative_1,METHOD_SUB_cumulative_1,METHOD_U-DEC_cumulative_1,Fighter_0_Outcome
8ea70cfd5d3aa5ee,98aa60cf58071fd6,0,0,0,0,0,0,0,0,0,0,0,0,0,bffeb123b21c9aad,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,125.0,168.0,0.0,0.0,1.0,0.0,168.0,125.0,170.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
e1ccf09c055bac01,55f80a8aeffcdb33,0,0,0,0,0,0,0,0,0,0,0,0,0,98aa60cf58071fd6,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,135.0,188.0,0.0,0.0,1.0,0.0,165.0,125.0,168.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8e5123975a83a6b1,e065b4a42a6c2c79,0,0,0,0,0,0,0,0,0,0,0,0,0,f6c1ce7cfd600662,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,125.0,170.0,0.0,1.0,0.0,0.0,168.0,125.0,170.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
dd5f7a14f5782f79,8d26912cd2aeb366,1,132,639,85,30,17,43,33,56,14,13,5,503,8ddf9c51c5fdea75,0,7,32,0,3,4,5,1,1,0,0,0,0,185.0,185.0,188.0,0.0,0.0,1.0,0.0,173.0,170.0,180.0,0.0,0.0,1.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0
5288ef3edf1eda6e,68c6cd5287b473a7,0,62,216,40,11,11,43,5,14,7,5,1,505,8d26912cd2aeb366,0,94,564,59,17,18,26,31,37,17,2,5,980,185.0,185.0,190.0,0.0,0.0,1.0,0.0,185.0,185.0,188.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,4.0,1
8f560a1fa19c122a,8d26912cd2aeb366,1,132,639,85,30,17,43,33,56,14,13,5,503,a8e6a69796280f17,1,71,310,33,11,27,64,3,4,2,0,0,155,185.0,185.0,188.0,0.0,0.0,1.0,0.0,183.0,185.0,188.0,0.0,0.0,1.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0
d1b8ff290d09013b,48d1f690b763934c,0,25,174,17,6,2,3,5,17,7,0,0,662,8d26912cd2aeb366,0,88,512,54,16,18,25,31,32,14,2,5,633,185.0,205.0,185.0,0.0,1.0,0.0,0.0,185.0,185.0,188.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,0
5f9d5ebe5ec28753,8d26912cd2aeb366,1,91,530,63,18,10,24,14,53,14,8,5,394,f5ff7bcdcfeba3ad,0,14,53,4,8,2,8,5,1,0,0,0,105,185.0,185.0,188.0,0.0,0.0,1.0,0.0,185.0,185.0,190.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
5a3fcd3d3a1e1c38,8d26912cd2aeb366,1,91,530,63,18,10,24,14,53,14,8,5,394,a390eb8a9b2df298,1,170,447,98,24,48,144,20,6,7,1,0,324,185.0,185.0,188.0,0.0,0.0,1.0,0.0,188.0,205.0,193.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,5.0,0
921c539ac28d49d0,1f454354805b6f75,4,192,543,146,17,29,107,22,63,2,12,2,0,8d26912cd2aeb366,0,50,390,37,9,4,14,10,26,7,2,5,79,188.0,185.0,196.0,0.0,1.0,0.0,0.0,185.0,185.0,188.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,1
